Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
ENAM	3344	10117	Amelogenesis imperfecta, type IB; Amelogenesis imperfecta, type IC	AR	N/A	N/A	Dental 	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11487571; 11978766; 14684688; 22243262 
ENG	3349	2022	Hereditary hemorrhagic telangiectasia, type 1; Juvenile polyposis syndrome	AD	Pediatric		Cardiovascular; Gastrointestinal; Hematologic; Oncologic	Hematologic; Oncologic	Oncologic complications have been reported (in Juvenile polyposis syndrome), but the evidence appears overall unclear	Individuals may have a variety of vascular complications, such as arteriovenous malformations (eg, pulmonary arteriovenous malformations, which can lead to a number of complications, including cerebral abscesses) and bleeding diatheses, and surveillance and early intervention related to manifestations (eg, related to thromboembolism or hepatic disease) may decrease morbidity and mortality; Though the evidence is unclear, awareness of the possibly increased risk of neoplasms may allow early diagnosis and treatment, potentially decreasing morbidity and mortality	5656734; 4834927; 4050544; 3186989; 2658618; 2729347; 2036743; 1518020; 7894484; 7666879; 9354504; 9541302; 9753031; 10636073; 11006369; 12920067; 15024723; 16287957; 16470787; 16752392; 16155196; 16542389; 17204053; 18831062; 18312453; 19439755; 20301525; 23380110; 23440993; 23722869; 23919827; 23962120; 24001356
ENO3	3354	2027	Glycogen storage disease XIII	AR	N/A	N/A	Biochemical; Musculoskeletal	General	The reported individual had exercise intolerance and increased CK without myoglobinuria	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11506403
ENPP1	3356	5167	Hypophosphatemic rickets, autosomal recessive 2; Arterial calcification, generalized, of infancy, 1	AR	Pediatric	Allelic with Cole disease (AD)	Cardiovascular; Dermatologic; Musculoskeletal; Renal	Renal		For hypophosphatemic rickets, treatment (eg, with phosphates, vitamin D supplements) may be effective; In Arterial calcification, generalized, of infancy, 1, bisphosphonates have been described as beneficial in some	11159191; 12881724; 15940697; 19380683; 20016754; 19206175; 20137772; 20137773; 21745613; 21932012; 22629037; 22229486; 22209248; 24075184
EOGT	28526	285203	Adams-Oliver syndrome 4	AR	N/A	N/A	Cardiovascular; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23522784
EP300	3373	2033	Rubinstein-Taybi syndrome 2	AD	N/A	N/A	Craniofacial; Musculoskeletal; Neurologic	General	The condition may include a risk of malignancy and frequent infections, as well as arrhythmia	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15706485; 17299436; 17220215; 19353645; 20014264; 20301699; 20717166; 21376300 
EPAS1	3374	2034	Erthyrocytosis, familial 4	AD	Pediatric		Hematologic; Oncologic	Hematologic; Oncologic	While presentation is typically described in adulthood, surveillance and treatment may be indicated in the pediatric time period	Individuals can present with manifestations secondary to erythrocytosis (eg, a DVT has been described in one individual), and interventions related to erythrocytosis (eg, venesection) have been described as beneficial; Due to a reported increased risk of neoplasms (eg, pheochromocytoma/paraganglioma), awareness may allow early detection and management, which may decrease associated morbidity and mortality	7747773; 18184961; 18456918; 18378852; 23090011
EPB41	3377	2035	Ellipsocytosis 1	AR	Pediatric		Hematologic	Hematologic		The recessive form is more severe, and due to anemia, individuals may require transfusions, and/or splenectomy	5731934; 7255153; 6894932; 7082842; 3965051; 3995181; 3755799; 3748797; 3674005; 1430200; 16730867; 14692233; 21839655 
EPB42	3381	2038	Spherocytosis, type 5	AR	Pediatric		Hematologic	Hematologic		Due to anemia, individuals may require transfusions and/or splenectomy	4830746; 4413274; 2963832; 2386772; 2139792; 1558976; 7803799; 7772513; 9734643; 10406914; 12176912; 14636652; 19269200; 21275958 
EPCAM	11529	4072	Colorectal cancer, hereditary nonpolyposis, type 8; Diarrhea 5, with tufting enteropathy, congenital	AD/AR	Pediatric		Gastrointestinal; Musculoskeletal; Oncologic	Gastrointestinal; Oncologic	Specific deletions result in MSH2 inactivation; Although Colorectal cancer, hereditary nonpolyposis, type 8 typically manifests in adulthood, individuals have been reported such that familial screening would be recommended to commence during the pediatric period; Diarrhea 5, with tufting enteropathy, congenital may include additional features, such as dysmorphism	In HNPCC, for surveillance, colonoscopy with polyp removal is indicated starting at (whichever is earlier) age 20-25 years or 10 years prior to the earliest familial diagnosis; Prophylactic Hysterectomy with bilateral oophorectomy may be considered after childbearing is completed; For individuals with colon cancer, surgical treatment with full colectomy (and ileorectal anastomosis) is recommended; Cigarette smoking should be avoided; For other tumor types, awareness of cancer risk may allow early diagnosis and treatment, which may reduce morbidity and mortality; In Diarrhea 5, with tufting enteropathy, congenital, most affected individuals require parenteral nutrition for normal growth and development, and awareness can allow prompt medical/nutritional support	100367; 8057225; 16951683; 18572020; 19820410; 19098912; 20388775; 20301390; 21309036; 21227399 
EPG5	29331	57724	Vici syndrome	AR	Pediatric		Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal; Neurologic; Ophthalmologic	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Cardiovascular		Antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial; Surveillance for cardiomyopathy (eg, including echocardiogram) may allow early management; Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	20186778; 23222957
EPHA2	3386	1969	Cataract, age-related cortical, 2; Cataract, posterior polar, 1 	AD	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19005574; 19649315; 20361013 
EPHX1	3401	2052	Hypercholanemia, familial	AR	Pediatric		Gastrointestinal	Gastrointestinal		As in other forms of familial hypercholanemia, individuals may respond to medical treatment (eg, with ursodeoxycholic acid)	12878321; 15768832 
EPM2A	3413	7957	Epilepsy, progressive myoclonic 2A (Lafora)	AR	N/A	N/A	Neurologic	General	Some antiepileptic drugs may be effective, but certain medications (eg, phenytoin, and possibly carbamazepine, oxcarbazepine, and lamotrigine) can exacerbate myoclonus	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9771710; 10513696; 14663053; 15277643; 16157917; 16356781; 20301563 
EPOR	3416	2057	Erythrocytosis, familial, 1	AD	Pediatric		Hematologic	Hematologic		Phlebotomy  can be used to maintain the hematocrit value in the desired range	4052634; 1954391; 093406; 9292543; 9649565; 20700488; 21437635 
EPX	3423	8288	Eosinophil peroxidase deficiency	AR	N/A	N/A	General	General		The clinical relevance is unclear	7809065
ERBB3	3431	2065	Lethal congenital contractural syndrome 2	AR	N/A	N/A	Cardiovascular; Craniofacial; Musculoskeletal; Neurologic; Renal	General	Individuals can have manifestations including cardiovascular anomalies (eg,cardiomyopathy and ventricular septal defects have been described) and hydronephrosis without urinary bladder abnormality	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12548738; 17701904
ERBB4	3432	2066	Amyotrophic lateral sclerosis 19	AD	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	24119685
ERCC1	3433	2067	Cerebrooculofacioskeletal syndrome 4	AR	N/A	N/A	Craniofacial; Musculoskeletal; Neurologic; Renal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17273966; 23623389
ERCC2	3434	2068	Trichothiodystrophy; Xeroderma pigmentosum, group D	AR	Pediatric	Allelic with Cerebrooculofacioskeletal syndrome  (AR)	Allergy/Immunology/Infectious; Craniofacial; Dermatologic; Endocrine; Genitourinary; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic	Allergy/Immunology/Infectious; Dermatologic; Oncologic		In Trichothiodystrophy, individuals may be at high risk for skin cancer, and preventive measures may be beneficial; Frequent infections have been reported, and prophylaxis and early and aggressive treatment of infections may be beneficial; In XP, skin lesions can be treated (and possibly prevented in some cases) with a variety of methods, depending on the specific type of lesion; Sun/UV exposure (and other agents, such as tobacco smoke) should be avoided; Periodic surveillance can be beneficial	2189905; 1372108; 7802014; 8783572; 11709541; 11443545; 21959366; 20301571
ERCC3	3435	2071	Xeroderma pigmentosum, complementation group B; Trichothiodystrophy	AR	Pediatric		Allergy/Immunology/Infectious; Dermatologic; Endocrine; Genitourinary; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic	Allergy/Immunology/Infectious; Dermatologic; Oncologic		In Trichothiodystrophy, individuals may be at high risk for skin cancer, and preventive measures may be beneficial; Frequent infections have been reported, and prophylaxis and early and aggressive treatment of infections may be beneficial; In XP, skin lesions can be treated (and possibly prevented in some cases) with a variety of methods, depending on the specific type of lesion; Sun/UV exposure (and other agents, such as tobacco smoke) should be avoided; Periodic surveillance (primarily related to skin manifestations, as well as other sequelae) can be beneficial	4811796; 6185841; 2189905; 2167179; 8783572; 9012405; 16947863; 20301571
ERCC4	3436	2072	Fanconi anemia, complementation group Q; Xeroderma pigmentosum, group F	AR	Pediatric	Allelic with XFE progeroid syndrome (AR)	Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Dermatologic; Endocrine; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Dermatologic; Hematologic; Oncologic	Fanconi anemia can involve multiple congenital anomalies	In XP, skin lesions can be treated (and possibly prevented in some cases) with a variety of methods, depending on the specific type of lesion; Sun/UV exposure (and other agents, such as tobacco smoke) should be avoided; Periodic surveillance (primarily related to skin manifestations, as well as other sequelae) can be beneficial; In Fanconi anemia, specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	3834095; 3372781; 2696553; 8427828; 10447254; 17183314; 20301571; 23623386
ERCC5	3437	2073	Xeroderma pigmentosum, group G; Xeroderma pigmentosum, group G/Cockayne syndrome	AR	Pediatric	Allelic with Cerebrooculofacioskeletal syndrome 3 (AR)	Craniofacial; Dermatologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic	Dermatologic; Oncologic		Skin lesions can be treated (and possibly prevented in some cases) with a variety of methods, depending on the specific type of lesion; Sun/UV exposure (and other agents, such as tobacco smoke) should be avoided; Periodic surveillance for dermatologic manifestations can be beneficial	492197; 11219864; 3620347; 8317483; 8818951; 9096355; 11228268; 11841555; 20301571
ERCC6	3438	2074	Xeroderma Pigmentosum-Cockayne Syndrome; De Sanctis-Cacchione syndrome	AD/AR	Pediatric	Allelic with Cerebrooculofacioskeletal syndrome (AR); UV-sensitive syndrome (AR), in which individuals have sun senstivity, but are not reported to have skin cancer	Audiologic/Otolaryngologic; Craniofacial; Dermatologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic	Dermatologic; Oncologic	Individuals with Cockayne syndrome without skin sensitivity have been described	Some individuals with Xeroderma Pigmentosum-Cockayne Syndrome  can have predisposition to skin cancer; Skin lesions can be treated (and possibly prevented in some cases) with a variety of methods, depending on the specific type of lesion; Sun/UV exposure (and other agents, such as tobacco smoke) should be avoided; Periodic surveillance for dermatologic manifestations can be beneficial	14246158; 5560051; 4211825; 4431498; 7264357; 3545087; 1372469; 9443879; 9777763; 10196384; 10767341; 10739753; 15486090; 18446857; 18628313;  20456449; 20301571; 22466610
ERCC8	3439	1161	UV-sensitive syndrome 2; Cockayne syndrome type A	AR	N/A	N/A	Dermatologic; Musculoskeletal; Neurologic	General	In Cockayne syndrome, some neurological manifestations have been reported as responding to treatment with carbidopa-levodopa; UV-sensitive syndrome 2 has not been described as associated with increased risk of skin cancer	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14783428; 1308368; 7664335; 9443879; 11185579; 14661080; 15744458; 16865293; 18695064;  19329487; 19894250; 21108394
ERLIN2	1356	11160	Spastic paraplegia 18, autosomal recessive	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21330303; 23109145
ERMAP	15743	114625	Blood group, Scianna system; Blood group, Radin	BG	Pediatric		Hematologic	Hematologic		Variants associated with a blood group may be important in specific situations (eg, related to transfusion)	7998072; 12393480; 15954808
ERMARD	21056	55780	Periventricular nodular heterotopia 6	AD	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	24056535
ESAM	17474	90952	Schizophrenia	AD	N/A	N/A	Neurologic	General		Evidence or clinical applicability is unclear	21822266
ESCO2	27230	157570	SC phocomelia syndrome; Roberts syndrome	AR	N/A	N/A	Cardiovascular; Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic	General	Individuals have been described developing complications such as cardiovascular complications	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7067161; 3740099; 1642282; 16380922; 15821733; 18411254; 19574259
ESPN	13281	83715	Deafness, autosomal dominant, without vestibular involvement; Deafness, autosomal recessive 36	AD/AR	Pediatric		Audiologic/Otolaryngologic	Audiologic/Otolaryngologic		Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	15286153; 15930085; 18973245 
ESR1	3467	2099	Estrogen resistance	AR	N/A	N/A	Endocrine	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8090165; 8961262; 9396482; 18505767; 23841731
ESRRB	3473	2103	Deafness, autosomal recessive 35	AR	Pediatric		Audiologic/Otolaryngologic	Audiologic/Otolaryngologic		Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	12529709; 18179891
ETFA	3481	2108	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR	Pediatric		Biochemical; Gastrointestinal; Musculoskeletal; Neurologic; Renal	Biochemical		Dietary measures (fasting avoidance and low-fat diet, as well as supplementation, such as with riboflavin and carnitine) may be beneficial	7145508; 8771170; 1882842; 1430199; 12815589; 18289905; 20736750; 22231380
ETFB	3482	2109	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR	Pediatric		Biochemical; Gastrointestinal; Musculoskeletal; Neurologic; Renal	Biochemical		Dietary measures (fasting avoidance and low-fat diet, as well as supplementation, such as with riboflavin and carnitine) may be beneficial	7145508; 8771170; 7912128; 12706375; 12815589; 18289905; 22231380
ETFDH	3483	2110	Multiple acyl-CoA dehydrogenase deficiency; Glutaric aciduria II	AR	Pediatric		Biochemical; Gastrointestinal; Musculoskeletal; Neurologic; Renal	Biochemical		Dietary measures (fasting avoidance and low-fat diet, as well as supplementation, such as with riboflavin and carnitine) may be beneficial	7145508; 8771170; 12815589; 16527485; 17412732; 17584774; 18289905; 19208393; 19249206; 19758981; 19783111; 20138856; 20370797; 20837308; 21088898; 21616504; 21907580; 22041377; 22231380; 22664151; 23106979; 23893693
ETHE1	23287	23474	Ethylmalonic encephalopathy	AR	Pediatric		Biochemical; Cardiovascular; Gastrointestinal; Neurologic	Biochemical		The condition can manifest with features including neurological impairment and chronic diarrhea, and dietary (eg, with restriction of branched amino acids, fatty acids, and methionine) and medical treatment (eg, with metronidazole and N-acetylcysteine) has been reported as having clinical benefit	14732903; 18593870; 20528888; 20657580; 20978941; 21472225; 22584649; 22805253
EVC	3497	2121	Ellis-van Creveld syndrome; Weyers acrodental dysostosis	AD/AR	N/A	N/A	Cardiovascular; Craniofacial; Dental; Dermatologic; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7628126; 10700184; 17024374; 18454448; 18947413; 19744229; 20184732; 23220543
EVC2	19747	132884	Ellis-van Creveld syndrome; Weyers acrodental dysostosis	AD/AR	N/A	N/A	Cardiovascular; Craniofacial; Dental; Dermatologic; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12468274; 12571802; 16404586; 17024374; 20184732; 21815252; 22406498; 23026208; 23220543; 23276573
EXOSC3	17944	51010	Pontocerebellar hypoplasia type 1B	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11020648;  12731647; 22544365 
EXPH5	30578	23086	Epidermolysis bullosa, nonspecific, autosomal recessive	AR	N/A	N/A	Dermatologic	General	Though appropriate skin care may be beneficial, it is unclear if early (genetic) diagnosis would be additionally advantageous	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23176819
EXT1	3512	2131	Exostoses, multiple, type 1	AD	Pediatric		Musculoskeletal; Oncologic	Oncologic	Though onset of malignancy is typically described in adulthood, some individuals have been affected at an earlier age; Germline mutations have also been implicated in chondrosarcoma	Though data regarding the efficacy of surveillance are lacking, individuals are at risk for the (relatively infrequent) development of malignant change of exostoses, and awareness may allow early detection and management	7550340; 8981950; 9326317; 9521425; 9463333; 10679937; 11432960; 11170095; 15253765; 16879194; 19344451; 20301413; 22258776; 23629877; 23770606
EXT2	3513	2132	Exostoses, multiple, type 2	AD	Pediatric		Musculoskeletal; Oncologic	Oncologic	Though onset of malignancy is typically described in adulthood, some individuals have been affected at an earlier age; Germline mutations have also been implicated in chondrosarcoma	Though data regarding the efficacy of surveillance are lacking, individuals are at risk for the (relatively infrequent) development of malignant change of exostoses, and awareness may allow early detection and management	7726168; 8782816; 8894688; 9326317; 9463333; 10679937; 11432960; 16879194; 19344451; 20301413; 22258776; 23629877; 23770606
EYA1	3519	2138	Branchiootic syndrome 1; Branchiootorenal syndrome 1; Otofaciocervical syndrome	AD	Pediatric		Audiologic/Otolaryngologic; Craniofacial; Ophthalmologic; Renal	Audiologic/Otolaryngologic; Renal	Individuals can have characteristic aural anomalies, but these may not be readily ascertained; In BOR, surveillance and treatment/prophylaxis related to renal manifestations can be beneficial	Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; In BOR, surveillance and treatment/prophylaxis related to vesicoureteral reflux can be beneficial	9020840; 9359046; 10991693; 11409867; 12404110; 15146463; 16441263; 16691597; 18177466; 18220287; 20301554; 19206155
EYA4	3522	2070	Cardiomyopathy, dilated, 1J	AD	Adult	Allelic with Deafness, autosomal dominant 10 (AD)	Audiologic/Otolaryngologic; Cardiovascular	Cardiovascular	The condition may also include childhood-onset sensorineural hearing loss	Related to cardiomyopathy, preventive measures and medical management may be helpful to help decrease morbidity	10769282; 10982027; 11159937; 15735644; 17568404; 17567890 
EYS	21555	346007	Retitinis pigmentosa 25	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	18836446; 18976725; 21069908; 21179430; 21519034; 22277662; 22302105; 22363543 
EZH2	3527	2146	Weaver syndrome 2	AD	N/A	N/A	Audiologic/Otolaryngologic; Craniofacial; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	4366187; 22177091
F10	3528	2159	Factor X deficiency	AR	Pediatric		Hematologic	Hematologic; Pharmacogenomic		Individuals can suffer from bleeding diatheses of varying severity, and preventive measures related to bleeding episodes can be beneficial, including in special circumstances such as pregnancy; Precautions should be taken related to certain agents that may provoke/worsen bleeding risk	5450692; 4989292; 4995085; 3732313; 8192155; 3408671; 2567188; 2790181; 1985698; 1997381; 9695984; 10746568; 12028042; 22151249; 22460599; 22506295 
F11	3529	2160	Factor XI deficiency	AD/AR	Pediatric		Hematologic	Hematologic; Pharmacogenomic	Heterozygotes may have manifestations that warrant interventions	Individuals may be at risk of bleeding (eg, following surgery or with injury, and during delivery), and prophylaxis and preventive measures (eg, including avoidance of aspirin) and prompt treatment (eg, with fresh frozen plasma) may be beneficial, including considerations prior to/during pregnancy; Antifibrinolytic therapy may be beneficial in females with menorrhagia	3871646; 2439152; 3553944; 2813350; 8800510; 18434707; 18160615; 19598070; 19367158; 19049995; 21577094; 21699628; 22624777; 22726099
F12	3530	2161	Angioedema, hereditary, type III	AD/AR	Pediatric	Allelic with Factor XII deficiency (AD) (in which, though the evidence is mixed, individuals do not appear to have a predisposition to severe bleeding diatheses or thromboembolic complications)	Allergy/Immunology/Infectious; Hematologic	Allergy/Immunology/Infectious; Pharmacogenomic		Attacks, which can include potentially life-threatening upper airway obstruction, can be precipitated by high estrogen levels (eg, pregnancy, OCPs)	14490552; 4968868; 5432188; 6348471; 2882793; 2110579; 1905067; 8419231; 7947293; 11069485; 15306750; 15013868; 15678272; 19477491; 20729721; 20667118; 20695852; 21849258; 20729721; 21297451; 22043782; 22801442; 22197449; 22729959 
F13A1	3531	2162	Factor XIIIA deficiency	AR	Pediatric		Hematologic	Hematologic; Pharmacogenomic		Individuals have increased bleeding and poor wound healing; awareness and management of bleeding risk in certain situations (eg, obstetric event or surgery) may decrease morbidity; Precautions should be taken related to certain agents that may provoke/worsen bleeding risk	1644910; 8025280; 7727776; 8547636; 9459313; 10365735; 12072871; 12456499; 17393027; 19438481; 20108427; 21512576 
F13B	3534	2165	Factor XIIIB deficiency	AR	Pediatric		Hematologic	Hematologic; Pharmacogenomic		Individuals have increased bleeding and poor wound healing; awareness and management of bleeding risk in certain situations (eg, obstetric event or surgery) may decrease morbidity; Precautions should be taken related to certain agents that may provoke/worsen bleeding risk	2334637; 8324218; 11313256; 20331752; 21640452 
F2	3535	2147	Prothrombin deficiency, congenital; Thrombophilia due to thrombin defect 	AD/AR	Pediatric		Hematologic	Hematologic; Pharmacogenomic	Variants in F2 may interact with variants in other genes, such as F5, to result in susceptibility to hematologic manifestations; Heterozygous mutations associated with Prothrombin deficiency  have been described as demonstrating increased bleeding tendency, such as post-dental or surgical bleeding	In individuals with Thrombophilia due to thrombin defect , as relates to the specific 20210G-A variant, mutation carriers may benefit from preventive measures and/or other interventions when other risk factors are present or in symptomatic disease; In AR forms of disease (Prothrombin deficiency), surveillance and prompt treatment of bleeding diatheses may reduce morbidity; Precautions should be taken related to certain agents that may provoke/worsen bleeding risk	4489469; 7740448; 8916933; 9869612; 10233438; 10477778; 11734673; 10666427; 11167765; 11506076; 15534175; 19598065; 22716977 
F5	3542	2153	Thrombophilia due to activated protein C resistance; Factor V deficiency	AD/AR	Pediatric	FVL (R506Q, 612309.0001) has also been reported as associated with multiple susceptibilities and other conditions	Hematologic	Hematologic; Pharmacogenomic	Variants in F5 may interact with variants in other genes, such as F2 and MTHFR, to result in susceptibility to hematologic manifestations	In Thrombophilia due to activated protein C resistance, surveillance and treatment (including preventive measures in some individuals) may reduce morbidity; Precautions should be taken regarding the avoidance of certain medications (eg, estrogen-containing OCPs); Individuals with Factor V deficiency can suffer from bleeding diatheses of varying severity, and preventive measures, as well as prompt treatment (eg, with fresh frozen plasma or platelet transfusion in instances of severe bleeding) related to bleeding episodes can be beneficial	20293060; 13194849; 13575936; 1239529; 694421; 6348091; 6479988; 8430067; 7803250; 8108421; 8164741; 7910348; 7969326; 8049422; 7911872; 7911873; 7989612; 7586244; 7877648; 8616100; 8627449; 8639453; 8815565; 9207293; 9245936; 9010145; 9372726; 9518910; 9577282; 9877047; 9576178; 9846775; 9734642; 9459326; 9462312; 9488630; 9454742; 10233438; 10477778; 10066036; 10328130; 9878639; 10507841; 10666427; 11001884; 11018168; 11167765; 10943572; 11532625; 11435304; 11781258; 11859850; 12138364; 12393490; 12393635; 14617013; 15534175; 15293282; 14673478; 14996674; 16113779; 16551553; 16707754; 16606808; 19531787; 21292261; 21320286; 21730834; 21777354; 22251029; 22758216; 22888854; 22990475; 23034579 
F7	3544	2155	Factor VII deficiency	AR	Pediatric		Hematologic	Hematologic; Pharmacogenomic		Individuals can suffer from bleeding diatheses of varying severity, and preventive measures and prompt treatment (including with factor replacement therapy) related to bleeding episodes can be beneficial; Precautions should be taken related to certain agents that may provoke/worsen bleeding risk	7919338; 7981691; 8652821; 8883260; 9680360; 11091194; 10984565; 11129332; 10862079; 11225604; 11139238; 11260055; 12181036; 11529858; 22188821; 22327818; 22356641; 22628013; 22684392; 22845882; 22873696; 22974900 
F8	3546	2157	Hemophilia A	XL	Pediatric		Hematologic	Hematologic; Pharmacogenomic		Plasma-derived factor VIII concentrate and/or desmopressin can be used to treat/prevent bleeding; Other considerations may be beneficial in specific circumstances, such as in postpartum females; Certain circumstances should be avoided or need to be specifically managed, such as circumcision, high-risk activities, and medications such as aspirin	13739554; 2987704; 3012775; 3035554; 3097553; 3338800; 3131627; 2833855; 2835904; 3139545; 1688823; 2123300; 1357455; 8275087; 8281136; 8259143; 7662970; 3893256; 8644728; 8968748; 9042915; 11023529; 11396445; 11857744; 12907007; 16786531; 16551972; 18691168; 18217193; 20301578; 21056901; 22507546; 22621702; 22639879; 22866674; 23005041; 23025325; 23047359; 23067060 
F9	3551	2158	Hemophilia B; Thrombophilia, X-linked, due to factor IX defect; Warfarin sensitivity	XL	Pediatric		Hematologic	Hematologic; Pharmacogenomic		In Hemophilia B, recombinant or plasma-derived factor IX concentrate can be effective for prevention/treatment of bleeding episodes; Other considerations may be beneficial in specific circumstances, such as in postpartum females; Certain circumstances should be avoided or need to be specifically managed, such as circumcision, high-risk activities, and medications such as aspirin; In X-linked thrombophilia, preventive measures related to thrombophilia, as well as early  recognition and treatment of manifestations such as deep venous thromboses, may reduce morbidity	14920537; 12997790; 4163943; 4972271; 5781711; 5450691; 734633; 7062952; 6142993; 3001143; 2907054; 3219291; 2841226; 2570235; 1768766; 1873221; 1601420; 8392713; 8352232; 8096443; 8304338; 8594556; 8833911; 9016521; 9233593; 10845896;  11122385; 11328285; 18349091; 18624978; 19251637; 19815722; 19846852; 20301668; 21056901 
FA2H	21197	79152	Spastic paraplegia 35, autosomal recessive	AR	N/A	N/A	Biochemical; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	18463364; 19068277; 20104589; 20853438; 22146942; 22925154 
FADD	3573	8772	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations	AR	Pediatric		Allergy/Immunology/Infectious; Cardiovascular; Gastrointestinal; Neurologic	Allergy/Immunology/Infectious		Antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial; Patients suffer from stereotypical episodes of fever, liver dyfunction, and encephalopathy, which may be severe and precipitated by viral infections; Other findings, such as cardiovascular malformations, and fucntional hyposplenism, have been described	21109225
FAH	3579	2184	Tyrosinemia, type I	AR	Pediatric		Biochemical; Gastrointestinal; Musculoskeletal; Oncologic; Renal	Biochemical; Oncologic		Dietary (controlled intake of phenylalanine and tyrosine) and medical (eg, nitsinone) treatment can be beneficial, and may reduce risks related to manifestations (eg, hepatocellular carcinoma) that are part of the natural history in untreated individuals; Some individuals require liver transplantation	14085846; 14271358; 6016174; 2536631; 2153931; 2378357; 1383656; 1440864; 8028615; 7977370; 7603784; 8829657; 9101289; 9728331; 10603099; 11575602; 12203990; 15759101; 20301688; 22554029 
