"Gene"	"Disease"	"Inheritance_JS"	"MedicalAction"	"ModifiedInh_JS"	"Source"	"Inheritance_source"	"Gene_ReviewedJS"	"Comments_JS"
"CASP8,MCH5,ALPS2B"	"Autoimmune lymphoproliferative syndrome, type IIB, 607271 (3);Hepatocellular carcinoma, somatic, 114550 (3); {Breast cancer, protection against}, 114480 (3); {Lung cancer, protection against}, 211980 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CASP8"	""
"CASQ2"	"Ventricular tachycardia, catecholaminergic polymorphic, 2, 611938 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CASQ2"	""
"CASR,HHC1,PCAR1,FIH,EIG8"	"Hypocalciuric hypercalcemia, type I, 145980 (3); Hyperparathyroidism,neonatal, 239200 (3); Hypocalcemia, autosomal dominant, 146200 (3); Hypocalcemia, autosomal dominant, with Bartter syndrome (3); {Epilepsy,idiopathic generalized, susceptibility to, 8}, 612899 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CASR"	""
"CAT"	"Acatalasemia (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CAT"	""
"CATSPER1,CATSPER"	"Male infertility, nonsyndromic, autosomal recessive, 612997 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CATSPER1"	""
"CAV1,BSCL3,CGL3"	"Lipodystrophy, congenital generalized, type 3, 612526 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CAV1"	""
"CAV3,LGMD1C,LQT9"	"Muscular dystrophy, limb-girdle, type IC, 607801 (3); Ripplingmuscle disease, 606072 (3); Creatine phosphokinase, elevated serum, 123320 (3); Myopathy, distal, with decreased caveolin 3 (3); Cardiomyopathy, familialhypertrophic, 192600 (3); Long QT syndrome-9, 611818 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CAV3"	""
"CBG,SERPINA6"	"Corticosteroid-binding globulin deficiency, 611489 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"SERPINA6"	""
"CBL,CBL2"	"Noonan syndrome-like disorder, 613563 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CBL"	""
"CBX2,M33"	"46XY gonadal dysgenesis, complete, CBS2-related, 613080 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CBX2"	""
"CC2D1A,MRT3"	"Mental retardation, autosomal recessive 3, 608443 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CC2D1A"	""
"CC2D2A,KIAA1345,MKS6"	"Joubert syndrome 9, 612285 (3); Meckel syndrome, type 6, 612284 (3);COACH syndrome, 216360 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CC2D2A"	""
"CCBE1,KIAA1983"	"Hennekam lymphangiectasia-lymphedema syndrome, 235510 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CCBE1"	""
"CCDC50,C3orf6,DFNA44"	"Deafness, autosomal dominant 44, 607453 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CCDC50"	""
"CCM1,CAM,KRIT1"	"Cerebral cavernous malformations-1, 116860 (3); Hyperkeratoticcutaneous capillary-venous malformations associated with cerebral capillary malformations, 116860 (3); Cavernous malformations of CNS and retina, 116860-3"	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRIT1"	""
"CCT5,KIAA0098,CCTE"	"Neuropathy, hereditary sensory, with spastic paraplegia, 256840 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CCT5"	""
"CD151,PETA3,SFA1,MER2"	"Nephropathy with pretibial epidermolysis bullosa and deafness,609057 (3); [Blood group, Raph], 179620 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD151"	""
"CD19,CVID3"	"Immunodeficiency, common variable, 3, 613493 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD19"	""
"CD247,CD3Z,TCRZ"	"Immunodeficiency due to defect in CD3-zeta, 610163 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD247"	""
"CD2AP,CMS"	"Glomerulosclerosis, focal segmental, 3, 607832 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CD2AP"	""
"CD36,CHDS7"	"[Macrothrombocytopenia] (1); Platelet glycoprotein IV deficiency,608404 (3); {Malaria, cerebral, susceptibility to}, 611162 (3); {Malaria, cerebral, reduced risk of}, 611162 (3); {Coronary heart disease, susceptibilityto, 7}, 610938 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD36"	""
"CD3D,T3D"	"Severe combined immunodeficiency, T cell-negative, B-cell/naturalkiller-cell positive, 608971 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD3D"	""
"CD3E"	"Immunodeficiency due to defect in CD3-epsilon (3); Severe combinedimmunodeficiency, T cell-negative, B-cell/natural killer-cell positive, 608971 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD3E"	""
"CD3G"	"Immunodeficiency due to defect in CD3-gamma (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD3G"	""
"CD79A,IGA"	"Agammaglobulinemia 3, 613501 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD79A"	""
"CD79B,IGB,B29,AGM6"	"Agammaglobulinemia 6, 612692 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD79B"	""
"CD81,TAPA1,CVID6"	"Immunodeficiency, common variable, 6, 613496 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD81"	""
"CD8A"	"CD8 deficiency, familial, 608957 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD8A"	""
"CD96,TACTILE"	"C syndrome, 211750 (3); C-like syndrome, 605039 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CD96"	""
"CDAN1,CDA1"	"Anemia, congenital dyserythropoietic, type I, 224120 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CDAN1"	""
"CDH15,MRD3"	"Mental retardation, autosomal dominant 3, 612580 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CDH15"	""
"CDH23,USH1D"	"Usher syndrome, type 1D, 601067 (3); Deafness, autosomal recessive12, 601386 (3); Usher syndrome, type 1D/F digenic, 601067 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CDH23"	""
"CDH3,CDHP,PCAD,HJMD"	"Hypotrichosis, congenital, with juvenile macular dystrophy, 601553(3); Ectodermal dysplasia, ectrodactyly, and macular dystrophy, 225280 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CDH3"	""
"CDHR1,PCDH21,PRCAD,CORD15"	"Cone-rod dystrophy 15, 613660 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CDHR1"	""
"CDK4,CMM3"	"Melanoma, 609048 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CDK4"	""
"CDK5RAP2,KIAA1633,MCPH3"	"Microcephaly, primary autosomal recessive, 3, 604804 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CDK5RAP2"	""
"CDKL5,STK9,ISSX,EIEE2"	"Epileptic encephalopathy, early infantile, 2, 300672 (3);Angelman syndrome-like, 105830 (3)  "	"XD"	""	"0"	"Berg.et.al.2013"	"XD"	"CDKL5"	""
"CDKN1C,KIP2,BWS"	"Beckwith-Wiedemann syndrome, 130650 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CDKN1C"	""
"CDSN,HTSS"	"Hypotrichosis simplex of scalp, 146520 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CDSN"	""
"CEBPE,CRP1"	"Specific granule deficiency, 245480 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CEBPE"	""
"CENPJ,CPAP,MCPH6,SCKL4"	"Microcephaly, primary autosomal recessive, 6, 608393 (3);Seckel syndrome 4, 613676 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CENPJ"	""
"CEP152,KIAA0912,MCPH4"	"Microcephaly, primary autosomal recessive, 4, 604321 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CEP152"	""
"CEP290,KIAA0373,3H11AG,JBTS5,SLSN6,LCA10,BBS14"	"Joubert syndrome 5, 610188 (3); Senior-Loken syndrome 6, 610189 (3);Leber congenital amaurosis 10, 611755 (3); Meckel syndrome type 4, 611134 (3); Bardet-Biedl syndrome 14, 209900 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CEP290"	""
"CERKL,RP26"	"Retinitis pigmentosa-26, 608380 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CERKL"	""
"CETP,HDLCQ10"	"[CETP deficiency], 607322 (3); Hyperalphalipoproteinemia, 143470 (3);[High density lipoprotein cholesterol level QTL 10] (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CETP"	""
"CFC1,CRYPTIC,HTX2"	"Heterotaxy, visceral, 2, autosomal, 605376 (3); Double-outlet rightventricle, 217095 (3); Transposition of the great arteries, dextro-looped 2 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CFC1"	""
"CFD,ADN"	"Complement factor D deficiency (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CFD"	""
"CFI,FI,AHUS3"	"Complement factor I deficiency, 610984 (3); {Hemolytic uremicsyndrome, atypical, susceptibility to, 3}, 612923 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CFI"	""
"CFL2,NEM7"	"Nemaline myopathy 7, 610687 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CFL2"	""
"CHAT,CMS1A2"	"Myasthenic syndrome, congenital, associated with episodic apnea,254210 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CHAT"	""
"CHD7,IS3,KAL5"	"CHARGE syndrome, 214800 (3); {Scoliosis, idiopathic 3}, 608765 (3);Kallmann syndrome 5, 612370 (3); Hypogonadotropic hypogonadism, 146110 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHD7"	""
"CHEK2,RAD53,CHK2,LFS2"	"Li-Fraumeni syndrome, 609265 (3); Osteosarcoma, somatic, 259500 (3);{Breast cancer, susceptibility to}, 114480 (3); {Prostate cancer, familial, susceptibility to}, 176807 (3); {Breast and colorectal cancer, susceptibilityto} (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHEK2"	""
"CHM,TCD"	"Choroideremia, 303100 (3)  "	"XD"	""	"0"	"Berg.et.al.2013"	"XD"	"CHM"	""
"CHMP4B,SNF7,CTPP3"	"Cataract, posterior polar, 3, 605387 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHMP4B"	""
"CHN1,CHN,ARHGAP2,RHOGAP2,DURS2"	"Duane retraction syndrome 2, 604356 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHN1"	""
"CHRNA1,ACHRD,CMS2A,SCCMS,FCCMS"	"Myasthenic syndrome, slow-channel congenital, 601462 (3);Myasthenic syndrome, fast-channel congenital, 608930 (3); Multiple pterygium syndrome, lethal type, 253290 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CHRNA1"	""
"CHRNA2"	"Epilepsy, nocturnal frontal lobe, type 4, 610353 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHRNA2"	""
"CHRNA4,ENFL1"	"Epilepsy, nocturnal frontal lobe, 1, 600513 (3); {Nicotineaddiction, susceptibility to}, 188890 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHRNA4"	""
"CHRNB1,ACHRB,SCCMS,CMS2A,CMS1D"	"Myasthenic syndrome, slow-channel congenital, 601462 (3);Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency, 608931 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CHRNB1"	""
"CHRNB2,EFNL3"	"Epilepsy, nocturnal frontal lobe, 3, 605375 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHRNB2"	""
"CHRND,ACHRD,SCCMS,CMS2A,FCCMS"	"Myasthenic syndrome, slow-channel congenital, 601462 (3);Myasthenic syndrome, fast-channel congenital, 608930 (3); Multiple pterygium syndrome, lethal type, 253290 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CHRND"	""
"CHRNE,SCCMS,CMS2A,FCCMS,CMS1E,CMS1D"	"Myasthenic syndrome, slow-channel congenital, 601462 (3);Myasthenic syndrome, fast-channel congenital, 608930 (3); Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency, 608931 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CHRNE"	""
"CHRNG,ACHRG"	"Myasthenia gravis, neonatal transient (2); Escobar syndrome, 265000(3); Multiple pterygium syndrome, lethal type, 253290 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CHRNG"	""
"CHS1,LYST"	"Chediak-Higashi syndrome, 214500 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LYST"	""
"CHST14,D4ST1,ATCS"	"Ehlers-Danlos syndrome, musculocontractural type , 601776 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CHST14"	""
"CHST3,C6ST,C6ST1,HSD"	"Spondyloepiphyseal dysplasia with congenital joint dislocations,143095 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CHST3"	""
"CHST6,MCDC1"	"Macular corneal dystrophy, 217800 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CHST6"	""
"CHUK,IKBKA,NFKBIKA,IKKA,IKK1"	"Cocoon syndrome, 613630 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CHUK"	""
"CHX10,HOX10,MCOP2,MCOPCB3,VSX2"	"Microphthalmia with coloboma 3, 610092 (3);Microphthalmia, isolated 2, 610093 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"VSX2"	""
"CIRH1A,NAIC,TEX292,KIAA1988"	"Cirrhosis, North American Indian childhood type, 604901 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CIRH1A"	""
"CISD2,WFS2,ZCD2,ERIS"	"Wolfram syndrome 2, 604928 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CISD2"	""
"CLCF1,BSF3"	"Cold-induced sweating syndrome 1, 610313 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLCF1"	""
"CLCN1"	"Myotonia congenita, recessive, 255700 (3); Myotonia congenita,dominant, 160800 (3); Myotonia levior, recessive (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CLCN1"	""
"CLCN5,CLCK2,NPHL2,DENTS,NPHL1"	"Dent disease, 300009 (3); Nephrolithiasis, type I, 310468 (3);Hypophosphatemic rickets, 300554 (3); Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, 308990 (3) "	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"CLCN5"	""
"CLCN7,CLC7,OPTA2,OPTB4"	"Osteopetrosis, autosomal recessive 4, 611490 (3); Osteopetrosis,autosomal dominant 2, 166600 (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CLCN7"	""
"CLCNKA"	"Bartter syndrome, type 4b, digenic, 613090 (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"CLCNKA"	""
"CLCNKB"	"Bartter syndrome, type 3, 607364 (3); Bartter syndrome, type 4,digenic, 602522 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLCNKB"	""
"CLDN1,SEMP1,ILVASC"	"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis,607626 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLDN1"	""
"CLDN14,DFNB29"	"Deafness, autosomal recessive 29 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLDN14"	""
"CLDN16,PCLN1,HOMG3"	"Hypomagnesemia, primary, 248250 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLDN16"	""
"CLDN19"	"Hypomagnesemia, renal, with ocular involvement, 248190 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLDN19"	""
"CLEC7A,CLECSF12,DECTIN1,CANDF4"	"Candidiasis, familial chronic mucocutaneous, autosomal dominant,613108 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CLEC7A"	""
"CLRN1,USH3A,USH3"	"Usher syndrome, type 3, 276902 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CLRN1"	""
"CNGA1,CNCG1,RP49"	"Retinitis pigmentosa-49 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNGA1"	""
"CNGA3,CNG3,ACHM2"	"Achromatopsia-2, 216900 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNGA3"	""
"CNGB1,CNCG3L,CNCG2,RP45"	"Retinitis pigmentosa-45, 268000 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNGB1"	""
"CNGB3,ACHM3,ACHM1"	"Achromatopsia-3, 262300 (3); Macular degeneration, juvenile, 248200-3 "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNGB3"	""
"CNNM4,ACDP4"	"Jalili syndrome, 217080 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNNM4"	""
"CNTN1"	"Myopathy, congenital, Compton-North, 612540 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNTN1"	""
"CNTNAP2,CASPR2,NRXN4,CDFE,AUTS15,PTHSL1"	"Cortical dysplasia-focal epilepsy syndrome, 610042 (3); {Autismsusceptibility 15}, 612100 (3); Pitt-Hopkins like syndrome 1, 610042 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CNTNAP2"	""
"COCH,DFNA9"	"Deafness, autosomal dominant 9, 601369 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COCH"	""
"COG1,LDLB,KIAA1381,CDG2G"	"Congenital disorder of glycosylation, type IIg, 611209 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COG1"	""
"COG4,COD1,CDG2J"	"Congenital disorder of glycosylation, type IIj, 613489 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COG4"	""
"COG5,GOLTC1,GTC90,CDG2I"	"Congenital disorder of glycosylation, type IIi, 613612 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COG5"	""
"COG7,CDG2E"	"Congenital disorder of glycosylation, type IIe, 608779 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COG7"	""
"COG8,DOR1,CDG2H"	"Congenital disorder of glycosylation, type IIh, 611182 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COG8"	""
"COH1,VPS13B"	"Cohen syndrome, 216550 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"VPS13B"	""
"COL10A1"	"Metaphyseal chondrodysplasia, Schmid type (3); Spondylometaphysealdysplasia, Japanese type (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL10A1"	""
"COL11A1,STL2"	"Stickler syndrome, type II, 604841 (3); Marshall syndrome, 154780(3); {Lumbar disc herniation, susceptibility to}, 603932 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL11A1"	""
"COL11A2,STL3,DFNA13,DFNB53"	"Stickler syndrome, type III, 184840 (3); Otospondylomegaepiphysealdysplasia, 215150 (3); Weissenbacher-Zweymuller syndrome, 277610 (3); Deafness, autosomal dominant 13, 601868 (3); Deafness, autosomal recessive 53, 609706 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"COL11A2"	""
"COL17A1,BPAG2"	"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COL17A1"	""
"COL18A1,KNO1"	"Knobloch syndrome, type 1, 267750 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COL18A1"	""
"COL1A1"	"Osteogenesis imperfecta, type I, 166200 (3); OI type II, 166210 (3);OI type III, 259420 (3); OI type IV, 166220 (3); Ehlers-Danlos syndrome, type I, 130000 (3); Ehlers-Danlos syndrome, type VIIA, 130060 (3); {Osteoporosis},166710 (3); Caffey disease, 114000 (3); [Bone mineral density variation QTL] (3)"	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL1A1"	""
"COL2A1"	"Stickler syndrome, type I, 108300 (3); Kniest dysplasia, 156550 (3);Achondrogenesis-hypochondrogenesis, type II, 200610 (3); SED congenita, 183900(3); SMED Strudwick type, 184250 (3); Epiphyseal dysplasia, multiple, with myopia and deafness, 132450 (3); Spondyloperipheral dysplasia, 271700 (3); SED, Namaqualand type (3); Osteoarthritis with mild chondrodysplasia, 604864 (3); Vitreoretinopathy with phalangeal epiphyseal dysplasia (3); Platyspondylic skeletal dysplasia, Torrance type, 151210 (3); Otospondylomegaepiphyseal dysplasia, 215150 (3); Avascular necrosis of the femoral head, 608805 (3); Legg-Calve-Perthes disease, 150600 (3); Stickler sydrome, type I, nonsyndromic ocular, 609508 (3)"	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL2A1"	""
"COL4A1"	"Porencephaly, 175780 (3); Brain small vessel disease with hemorrhage,607595 (3); Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps, 611773 (3); Brain small vessel disease with Axenfeld-Rieger anomaly,607595 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL4A1"	""
"COL4A3"	"Alport syndrome, autosomal recessive, 203780 (3); Hematuria,benign familial, 141200 (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"COL4A3"	""
"COL4A4"	"Alport syndrome, autosomal recessive, 203780 (3); Hematuria,familial benign (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COL4A4"	""
"COL4A5,ATS,ASLN"	"Alport syndrome, 301050 (3)  "	"XD"	""	"0"	"Berg.et.al.2013"	"XD"	"COL4A5"	""
"COL5A1"	"Ehlers-Danlos syndrome, type II, 130010 (3); Ehlers-Danlos syndrome,type I, 130000 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL5A1"	""
"COL5A2"	"Ehlers-Danlos syndrome, type I, 130000 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL5A2"	""
"COL6A1,OPLL"	"Bethlem myopathy, 158810 (3); Ullrich congenital muscular dystrophy,254090 (3); {Ossification of the posterior longitudinal spinal ligaments}, 602475 (2) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL6A1"	""
"COL6A2"	"Bethlem myopathy, 158810 (3); Ullrich congenital muscular dystrophy,254090 (3); Myosclerosis, congenital, 255600 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL6A2"	""
"COL6A3"	"Bethlem myopathy, 158810 (3); Ullrich congenital muscular dystrophy,254090 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL6A3"	""
"COL7A1"	"Epidermolysis bullosa dystrophica, AD, 131750 (3); Epidermolysisbullosa dystrophica, AR, 226600 (3); Epidermolysis bullosa, pretibial, 131850 (3); EBD, Bart type, 132000 (3); EBD, localisata variant (3); Transient bullousof the newborn, 131705 (3); Epidermolysis bullosa pruriginosa, 604129 (3); Toenail dystrophy, isolated, 607523 (3); EBD inversa, 226600 (3)"	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"COL7A1"	""
"COL8A2,FECD1,PPCD2"	"Corneal dystrophy, Fuchs endothelial, 1, 136800 (3); Cornealdystrophy polymorphous posterior, 2, 609140 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL8A2"	""
"COL9A1,EDM6"	"Epiphyseal dysplasia, multiple, 6 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL9A1"	""
"COL9A2,EDM2"	"Epiphyseal dysplasia, multiple, 2, 600204 (3); {Intervertebraldisc disease, susceptibility to}, 603932 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL9A2"	""
"COL9A3,EDM3,IDD"	"Epiphyseal dysplasia, multiple, 3, 600969 (3); Epiphyseal dysplasia,multiple, with myopathy (3); {Intervertebral disc disease, susceptibility to}, 603932 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COL9A3"	""
"COLQ,EAD"	"Endplate acetylcholinesterase deficiency, 603034 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COLQ"	""
"COMP,EDM1,MED,PSACH"	"Pseudoachondroplasia, 177170 (3); Epiphyseal dysplasia, multiple 1,132400 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"COMP"	""
"COX10"	"Encephalopathy, progressive mitochondrial, with proximal renaltubulopathy due to cytochrome c oxidase deficiency (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COX10"	""
"COX15"	"Cardiomyopathy, hypertrophic, early-onset fatal (3); Leigh syndromedue to cytochrome c oxidase deficiency, 256000 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COX15"	""
"COX4I2"	"Exocrine pancreatic insufficiency, dyserythropoietic anemia, andcalvarial hyperostosis, 612714 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COX4I2"	""
"COX6B1"	"Cytochrome c oxidase deficiency, 220110 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"COX6B1"	""
"CP"	"[Hypoceruloplasminemia, hereditary], 604290 (3);Cerebellar ataxia, 604290 (3); Hemosiderosis, systemic, due to aceruloplasminemia, 604290 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CP"	""
"CPN1,SCPN,CPN"	"Carboxypeptidase N deficiency, 212070 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CPN1"	""
"CPOX"	"Coproporphyria, 121300 (3); Harderoporphyria, 121300 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CPOX"	""
"CPT2"	"Myopathy due to CPT II deficiency, 255110 (3); CPT deficiency,hepatic, type II, 600649 (3); CPT II deficiency, lethal neonatal, 608836 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CPT2"	""
"CRB1,RP12,LCA8"	"Retinitis pigmentosa-12, autosomal recessive, 600105 (3);Leber congenital amaurosis 8 (3); Pigmented paravenous chorioretinal atrophy, 172870 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CRB1"	""
"CRBN,MRT2A"	"Mental retardation, autosomal recessive 2A, 607417 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CRBN"	""
"CREBBP,CBP,RSTS"	"Rubinstein-Taybi syndrome, 180849 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CREBBP"	""
"CRFB4,IBD25,IL10RB"	"{Hepatitis B virus, susceptibility to}, 610424 (3); Inflammatorybowel disease 25, early onset, autosomal recessive, 612567 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"IL10RB"	""
"CRLF1,CISS"	"Cold-induced sweating syndrome, 272430 (3); Crisponi syndrome,601378 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"CRLF1"	""
